Id,Name,Industry,NumberOfEmployees,Type,Website,BillingCountry,OwnerId,Strategic__c
001uOiJaJkJat7CrhI,Northgate Instruments,Chemicals,5000,Customer,northgate.com,IN,005PueZaJwPUuJdtrt,false
001QH756sYhE3xvrqJ,Sabah Timber Components ,Manufacturing,300,Prospect,sabah.com,SG,0057et5JEE7hm0izzn,false
001yjb50XlJAdc7p3L,Everbright Plastics,Logistics,800,Prospect,everbright.com,IN,0052zFDqfKCziLfOVD,false
001aKq9OAkFDAazLrZ,Straits Raw Materials,Manufacturing,50,Prospect,straits.com,SG,005C5U1kSRfwgMcaXl,false
001Pyzv6LKmJhkZV1Y,Lotus Facilities,Technology,120,Prospect,lotus.com,MY,0056G7zeVwwVS7CoMl,false
001Y3LBbuJoB9K6hD6,Andaman Metal Works,Technology,50,Partner,andaman.com,TH,005JlZRISIH9RN8xYY,false
001zJ1DMIY5suKOMgP,Highland Chemicals,Technology,800,Partner,highland.com,ID,005F9e1sHgsihawXpc,false
001o1u7ckTr414cYaE,Lumina Retail,Manufacturing,120,Prospect,lumina.com,TH,005sYkImcLonK1KWwP,false
001wjlpFhmyYbEU2tD,Lumina  Retail,Technology,5000,Partner,lumina.com,ID,005NL81atJns3AjNnr,false
0015jZV0eISRRkleg5,Lumina Retail,Logistics,800,Partner,lumina.com,SG,005SwC33vHzjPZy4jI,false
001BxXdFCOmhaNf0ez,Zenith Office Solutions,Retail,800,Prospect,zenith.com,TH,005tQTRkMp3CTtZXbf,false
0017Sqr0O072IojSHD,Zenith Office Solutions,Retail,800,Partner,zenith.com,TH,005YpHNeeJSRw1pclM,false
001ZrNDru0WnWI7C1E,Kirana Traders,Logistics,800,Prospect,kirana.com,TH,005S2GfIK3hqwLngHU,false
001zFBTL4HjeE6O3X5,Everbright Plastics,Logistics,800,Prospect,everbright.com,ID,005C7K4alVTXvE8lZI,true
0018pb10cLQ0vkB1eE,HIGHLAND CHEMICALS,Logistics,50,Partner,highland.com,ID,005bsyibE5mjq5E1kP,false
001Q4zJiPXnkfvSYXw,Orion Freight,Technology,800,Customer,orion.com,IN,005Jr2VtYa6YyfGNcK,false
001jJI14UZmcqlVw5M,Northgate Instruments,Logistics,300,Partner,northgate.com,SG,005wXG1kSKx4ht8eqO,false
001y7oXm8Oa2wFG5HC,Bharat Industrial Supplies,Technology,120,Partner,bharat.com,MY,005rJqGntkGWnAIeRm,false
0018wxvZFjtODPTTEA,Pacific  Rim  Textiles,Chemicals,5000,Partner,pacific.com,MY,005KdiyTirj3k2TyEk,false
001TBInfrgtzjDX8yt,Bharat Industrial Supplies,Manufacturing,50,Partner,bharat.com,SG,005Q2o9efuBFUVEKjO,false
001H4cP0sFYxHjnq6U,Summit Steelworks,Retail,2000,Prospect,summit.com,IN,005rUvOFJnj2m8Oc37,false
0015Ow05Rcuo8wKeHk,Harbor Freight,Retail,120,Customer,harbor.com,ID,005UbC7u987LRX3Ojo,false
0016ghtzFH0UgGkUkH,Lotus Facilities Bhd,Retail,2000,Customer,lotus.com,IN,0059TKWH1cdhbtrKl8,false
001zeskKCwlSjzF33C,Zenith Office Solutions,Logistics,2000,Customer,zenith.com,IN,0051lOQwHhg7MeOo4P,false
