consent_id,contact_id,basis,region,status,channel,source,captured_at,expires_at
CNSdVeJ8Myfzqlp,003TTAe7YV378jlm2Z,opt_in,ID,active,web_form,intake_form,2026/07/12,
CNSnkyXzsPW9Pjh,003AIyJKzOngMJv6BV,consent,IN,withdrawn,web_form,intake_form,2026/07/09,
CNS6t5RMiwQg1xG,003p7rC5YwVTNekUnZ,soft_opt_in,ID,active,web_form,intake_form,2026/07/06,
CNSyErKMBfWBZxN,003EHGL4D4Vo3txzQT,opt_in,IN,active,web_form,intake_form,2026/07/05,
CNSfcGvDRoPRTj7,003Ua1adavpWKR9c2s,opt_in,MY,active,web_form,intake_form,2026/07/14,
CNSHfsDBf6ZEtji,003rSxXve61Lq38YFh,consent,IN,active,web_form,intake_form,2026/09/07,
CNSsKdJe6cGgGBA,00396C6HxHXrhyecH3,soft_opt_in,TH,active,web_form,intake_form,2026/07/03,
CNSK0qwqLfXGbhV,003l8OWzljbJ0NnaKw,opt_in,TH,active,web_form,intake_form,2026/07/14,
CNS1zcfA4TtuLUD,003uNxughaCJZ1YMs9,opt_in,IN,active,web_form,intake_form,2026/07/13,
CNSv963ZlnlfVMq,0039dOnvbLvkGO5FvE,opt_in,IN,active,web_form,intake_form,2026/07/03,
CNSazhakPEDSz3Q,003QYoqD7N5s2QrSBT,soft_opt_in,TH,active,web_form,intake_form,2026/07/19,
CNS0NxSR9SRzZtf,003foruN2bI7irZa7S,consent,IN,active,web_form,intake_form,2026/04/07,
CNSh0bSm2bnEPjP,0034SaTsCmEY6aeBEA,consent,IN,withdrawn,web_form,intake_form,2026/07/07,
CNS2YImftXDjEBb,003GMPRbtpqAKZ82id,soft_opt_in,MY,active,web_form,intake_form,2026/03/07,
CNSVSC9FEb3CLpm,0036IpmfT3noEy0NAU,soft_opt_in,ID,active,web_form,intake_form,2026/07/08,
CNSzdvagO2TBA2F,003Qdx3WB2jM5qNaob,opt_in,IN,active,web_form,intake_form,2026/07/17,
CNSscFzFGLUN7R5,003jOff2KR4ea8nKPy,opt_in,MY,active,web_form,intake_form,2026/07/15,
CNSHbBKuJer5PA4,003Cz5BK79Vc8PxESN,opt_in,TH,active,web_form,intake_form,2026/07/15,
CNS8PwCSBbksUmE,003D1sVRnl3PpSwyTc,opt_in,SG,active,web_form,intake_form,2026/07/11,
CNSoL6Rv6M21TQD,003gybdOyBcQbgqizi,opt_in,SG,active,web_form,intake_form,2026/07/04,
CNSy9A18RPVxYEZ,003icpXj7VwT0AazRl,opt_in,IN,active,web_form,intake_form,2026/07/04,
CNSSVfQEilmkMFg,003Mt2xVzKFS6UVS1X,opt_in,IN,active,web_form,intake_form,2026/07/13,
CNSnJdbw4qwRkl0,003PPBgaiaQb5fsyhs,opt_in,IN,active,web_form,intake_form,2026/07/16,
CNSvBhNohJoFqvY,0035ncDTvs38nrFMAS,soft_opt_in,ID,active,web_form,intake_form,2026/07/11,
CNSJr5j2S3GMQgT,003gRzSdAK4hk0THac,opt_in,SG,active,web_form,intake_form,2026/07/01,
CNS91WhgYNNY28g,0034Kp57AK0Q8FTBl6,opt_in,TH,active,web_form,intake_form,2026/07/17,
CNSh3n6xkUsTCWG,0036OWyxgUn0io4Jzf,opt_in,ID,active,web_form,intake_form,2026/07/15,
CNSv0ih2mCAXXap,003R2WaD3vKzeg8dua,opt_in,ID,active,web_form,intake_form,2026/07/15,
CNSkfrxTWAxOQpj,0032kprEnDkDmvntmO,opt_in,ID,active,web_form,intake_form,2026/07/16,
CNSBA6A5D82HYRx,0038lsG6yy7CXcdEmA,opt_in,MY,active,web_form,intake_form,2026/06/30,
CNSaTZH8efvuzXk,003X4WkkjgtCJoThbW,opt_in,TH,active,web_form,intake_form,2026/07/13,
CNScQ7Pj5KdOTZQ,003tnXMtZLCMRZ2qCM,opt_in,IN,active,web_form,intake_form,2026/07/16,
CNS4RSJ3tUVu6wa,003avgMFIdExp3RZCV,opt_in,SG,active,web_form,intake_form,2026/07/07,
CNSjSzCPn4INYNP,003B4xW8I94QLqLzQX,soft_opt_in,ID,active,web_form,intake_form,2026/07/14,
CNS4tfcIvyUUV4i,003WvWycNQaJpGJsjr,soft_opt_in,TH,active,web_form,intake_form,2026/07/15,
CNSfGJtHvWOkbb4,003blM0OJ6mHvqPbbV,soft_opt_in,SG,active,web_form,intake_form,2026/07/16,
CNS1XtUBGhUd1xq,003p3uRpiaLhhYbTvt,opt_in,TH,active,web_form,intake_form,2026/07/19,
CNSdWP8hCtKVaDv,003sNGixBTRY5NKMY9,opt_in,IN,active,web_form,intake_form,2026/07/06,
CNS58OQI2MowtsQ,003o1KW3FT7J1Wb6gG,soft_opt_in,MY,active,web_form,intake_form,2026/07/18,
CNSpguHLm0XxDgj,003zGvsU55UC7Ep3Fv,soft_opt_in,ID,active,web_form,intake_form,2026/07/13,
CNSdB4iEnCexRHz,0031rYak8x5Ajg0oqi,consent,IN,active,web_form,intake_form,2026/07/17,
CNSz3qLFOBCS78F,003d6teEsgPckDX2AN,opt_in,ID,active,web_form,intake_form,2026/07/13,
CNSiFTDi9TG3HhS,00328hDV9pZCHmbWv1,opt_in,TH,active,web_form,intake_form,2026/07/06,
CNSVk8Jx68hM2Ah,003xTOrW6iBBdHGtzn,opt_in,MY,active,web_form,intake_form,2026/07/03,
CNScHjhxtxtsFbY,003snsSNc31BW1Ojii,soft_opt_in,TH,active,web_form,intake_form,2026/04/07,
CNSAd75t4snl0VF,003s44EKQugkzkc5XN,soft_opt_in,SG,active,web_form,intake_form,2026/06/30,
CNSe3cAEKtKC5vY,003aWNXPWFPn6ZfzWQ,soft_opt_in,SG,active,web_form,intake_form,2026/07/12,
CNS1MiWiGODWCQC,003C2l2nYaRtlNP1yf,opt_in,MY,active,web_form,intake_form,2026/07/04,
CNSNQNAyo5zvIc9,003nj576dfv9I9pfnz,opt_in,TH,active,web_form,intake_form,2026/07/14,
CNS3kTbKOYXTtJP,003zxgJgL2leXYC0VW,soft_opt_in,ID,active,web_form,intake_form,2026/07/02,
CNS9NIKWd9KHmWE,0039OClGq4wGa6AjRP,soft_opt_in,SG,active,web_form,intake_form,2026/07/16,
CNS7Il9brYnp1T1,003j40yPUgr3U4pVAa,soft_opt_in,TH,active,web_form,intake_form,2026/07/18,
CNSMuzLcF37bvBl,003hj8MRa5GGQVGTED,opt_in,TH,active,web_form,intake_form,2026/07/13,
CNSfhgIksjlqXfj,003QKxkyppoOYAXuZI,soft_opt_in,SG,active,web_form,intake_form,2026/07/09,
CNSdN9ulbTdtygu,003e9k8XA1wJ6glkhd,consent,IN,active,web_form,intake_form,2026/07/04,
CNSqy805hdmpWML,003ryQh3bTdq6LQYbo,consent,IN,active,web_form,intake_form,2026/07/07,
CNSGy8hrduDJAeE,003KwxB8E03xN4A7DW,opt_in,IN,active,web_form,intake_form,2026/06/30,
CNS64brJ9LRgpWJ,003W4dZ2v2dIiMtvbC,consent,IN,active,web_form,intake_form,2026/07/20,
CNSACf2OGnY9jxI,003dSq7BAsMzOeip2s,consent,IN,active,web_form,intake_form,2026/05/07,
CNSB96JCca0D91N,003jMshgsPBmPSiYoR,opt_in,SG,active,web_form,intake_form,2026/09/07,
CNS76ErMq1Ryw1O,003dZdQIjfayO82saK,soft_opt_in,ID,withdrawn,web_form,intake_form,2026/07/05,
CNSsckVIKetfzSh,003rH1ESExnO8SEB8M,soft_opt_in,TH,active,web_form,intake_form,2026/07/03,
CNS4BnNG9Zu4R8v,003H691WGD0xx81PYU,opt_in,IN,active,web_form,intake_form,2026/07/20,
CNSTCrpQuvnD9Mv,003vriF5P63luchp9A,consent,IN,active,web_form,intake_form,2026/06/30,
CNSaMEa5aRlAJ5S,003leygdPNcc2Vk7xE,opt_in,TH,active,web_form,intake_form,2026/07/15,
CNSY4PPeIb510QC,003ZkusvoPfOIK6mIQ,opt_in,IN,active,web_form,intake_form,2026/07/03,
CNSy0Mwyl1XZSah,003wAMwg4RQ8qP1a9q,consent,IN,active,web_form,intake_form,2026/07/14,
CNSoVbWrR6Twmf0,003NbW3VTYMpvA4aBs,consent,IN,active,web_form,intake_form,2026/07/19,
CNSooF9xcrF5TTM,003gF41vvjhfxjw0U8,opt_in,ID,active,web_form,intake_form,2026/07/06,
CNSOzh3rKGFkJmQ,003tT8Vs3kvf9rHxYC,opt_in,ID,active,web_form,intake_form,2026/07/17,
CNSeLiVeiq7K2o4,003ZK2gvUf2lM18iVu,opt_in,ID,active,web_form,intake_form,2026/07/16,
CNSRbSRINqRJ4Da,003eIvTudh5zlU4HXL,opt_in,IN,active,web_form,intake_form,2026/07/13,
CNSArhRHDFxHWc4,003IjuSOVRQxDaKXAi,soft_opt_in,SG,active,web_form,intake_form,2026/07/07,
CNSAICuazmvf4KZ,0038wJblx0jvHUPrrm,soft_opt_in,SG,active,web_form,intake_form,2026/06/30,
CNSB9e6pmkvteOO,003csV01zyIh9dzIjt,opt_in,TH,active,web_form,intake_form,2026/07/03,
CNSZbLZO7v1qpgE,003mk7P8B7O8Tk4M38,opt_in,SG,active,web_form,intake_form,2026/07/07,
CNSHYp8eXMNCWgO,003eT3bm80Ft6JCQiR,opt_in,SG,active,web_form,intake_form,2026/07/13,
CNSd6cyu42SeYid,003yDzRUt7uV8voYAZ,opt_in,ID,active,web_form,intake_form,2026/07/14,
CNSOBegRdJds2yz,003q3eY8n5JUh6hn5e,opt_in,ID,active,web_form,intake_form,2026/07/02,
CNSo3MYQNaDyDYB,003hOr4Bn7fPJRbmni,consent,IN,active,web_form,intake_form,2026/07/18,
CNSP8RYbDHvLmgg,003S1oCTn59LBikBrV,opt_in,ID,active,web_form,intake_form,2026/06/29,
CNSLY1m5KiOGqwA,003XjfTttKxf4gKMZs,soft_opt_in,SG,active,web_form,intake_form,2026/07/14,
CNSpiZcditLBG9P,003BdQsRYOo6hA2DJ5,opt_in,TH,active,web_form,intake_form,2026/07/11,
CNSIXjjEtMvsxaH,003RQDw0pATMEdNb62,soft_opt_in,ID,active,web_form,intake_form,2026/07/18,
CNSG01J2dBwmmO6,003VfCyg8Ht0V7Fj77,soft_opt_in,TH,expired,web_form,intake_form,2026/07/06,
CNSQESSDMSv2LK9,003BxVSPC7Aw39rK30,opt_in,ID,active,web_form,intake_form,2026/07/09,
CNSvkgD4Y6cFo6a,00339p4BY9ZPVCzAqd,soft_opt_in,SG,active,web_form,intake_form,2026/07/20,
CNSnpEVX80vZVyn,003izy5NooKvoisrui,opt_in,ID,active,web_form,intake_form,2026/12/07,
CNSaxaewbJhjsCm,003DeR8iFO83c2NXXK,opt_in,ID,active,web_form,intake_form,2026/07/19,
CNSxcbmmslo4qUl,003yOl7wn3BUy2uQA4,consent,IN,active,web_form,intake_form,2026/07/09,
